iter	RMSE
0	15.4591134
1	14.44821603
2	13.61958194
3	12.85508727
4	12.10031011
5	11.56542441
6	10.96705243
7	10.44061234
8	9.883557277
9	9.505036426
10	9.00693112
11	8.580519506
12	8.150896861
13	7.819829521
14	7.484665211
15	7.174159054
16	6.858797052
17	6.556520336
18	6.250388533
19	6.018408258
20	5.787528347
21	5.539361003
22	5.342132344
23	5.14694144
24	4.918626778
25	4.725670156
26	4.550441582
27	4.395477771
28	4.264306225
29	4.082089148
30	3.948096459
31	3.813526615
32	3.687190327
33	3.58416564
34	3.485738644
35	3.363821279
36	3.251770062
37	3.141266776
38	3.045294166
39	2.956343638
40	2.872607828
41	2.780145449
42	2.693777207
43	2.603801692
44	2.540817121
45	2.475118807
46	2.408163398
47	2.342642503
48	2.280193163
49	2.221993274
